parcel_id,date,drought_probability,flood_probability,hail_probability,general_risk,alert,alert_type,risk_level,drought_risk_level,flood_risk_level,pest_risk_level,premium_ha,risk_category
Chacra_San_Javier_Sokolov_1,2025-01-15,27,31,15,25,,,0.2452000862171749,0.2740783018658381,0.3075564601412751,0.15396549664441148,73.56,Moderate
Chacra_San_Javier_Sokolov_1,2025-01-16,30,28,12,24,,,0.23700416443299946,0.3029618390450671,0.28399624579303256,0.12405440846089869,71.1,Moderate
Chacra_San_Javier_Sokolov_1,2025-01-17,36,40,12,29,,,0.29233911351930386,0.35982279550082086,0.3961945450570907,0.121,87.7,Moderate
Chacra_San_Javier_Sokolov_1,2025-01-18,27,40,16,28,,,0.2768212658733092,0.26565900100667317,0.4047418996170192,0.1600628969962352,83.05,Moderate
Chacra_San_Javier_Sokolov_1,2025-01-19,27,43,24,31,,,0.3139964118057347,0.2687353103749306,0.43301871965438227,0.2402352053878912,94.2,Moderate
Chacra_San_Javier_Sokolov_1,2025-01-20,18,36,25,27,,,0.266966668416062,0.18269036100544017,0.36419080796112896,0.2540188362816168,80.09,Moderate
Chacra_San_Javier_Sokolov_1,2025-01-21,26,41,23,30,,,0.2970257844403871,0.25562839829780676,0.4081097846721567,0.22733917035119777,89.11,Moderate
Chacra_San_Javier_Sokolov_1,2025-01-22,32,36,19,29,,,0.2909076858908696,0.3213627382403268,0.36275170067582896,0.18860861875645313,87.27,Moderate
Chacra_San_Javier_Sokolov_1,2025-01-23,31,37,20,29,,,0.29125830676535935,0.30775663088293237,0.3660508316650688,0.19996745774807684,87.38,Moderate
Chacra_San_Javier_Sokolov_1,2025-01-24,39,35,14,29,,,0.2897055798823655,0.3858936163628952,0.34531436302786567,0.13790876025633564,86.91,Moderate
Chacra_San_Javier_Sokolov_1,2025-01-25,37,34,20,30,,,0.30473038735869923,0.37290019265268337,0.3433596801831694,0.1979312892402448,91.42,Moderate
Chacra_San_Javier_Sokolov_1,2025-01-26,28,39,23,30,,,0.3008730398665037,0.2808613613747093,0.3924630503371705,0.2292947078876314,90.26,Moderate
Chacra_San_Javier_Sokolov_1,2025-01-27,30,36,25,30,,,0.30471387286788953,0.30272245772494777,0.3611776565765855,0.2502415043021353,91.41,Moderate
Chacra_San_Javier_Sokolov_1,2025-01-28,30,32,22,28,,,0.28185351965253064,0.30366012799727915,0.3214315944203026,0.22046883654001007,84.56,Moderate
Chacra_San_Javier_Sokolov_1,2025-01-29,40,35,20,31,,,0.3130755523102097,0.3952740425125923,0.34699078934782757,0.19696182507020926,93.92,Moderate
Chacra_San_Javier_Sokolov_1,2025-01-30,35,31,17,28,,,0.27621134438743605,0.3514656383929683,0.31143180307579843,0.16573659169354132,82.86,Moderate
Chacra_San_Javier_Sokolov_1,2025-01-31,44,27,18,30,,,0.2970099373774578,0.4400682203105343,0.26959234267859644,0.18136924914324262,89.1,Moderate
Chacra_San_Javier_Sokolov_1,2025-02-01,39,16,21,25,,,0.25435366320959235,0.39295488737199297,0.1615955432832846,0.20851055897349954,76.31,Moderate
Chacra_San_Javier_Sokolov_1,2025-02-02,40,25,24,30,,,0.2971939027236023,0.40045036724810695,0.25285207824026545,0.2382792626824344,89.16,Moderate
Chacra_San_Javier_Sokolov_1,2025-02-03,35,17,23,25,,,0.24914038158677707,0.35242202230990793,0.16599933321648894,0.22899978923393427,74.74,Moderate
Chacra_San_Javier_Sokolov_1,2025-02-04,30,18,25,24,,,0.24234298834259552,0.30199197645561193,0.17926600996387115,0.24577097860830344,72.7,Moderate
Chacra_San_Javier_Sokolov_1,2025-02-05,46,12,20,26,,,0.26363321508690496,0.4644804427146338,0.12375831711504862,0.2026608854310324,79.09,Moderate
Chacra_San_Javier_Sokolov_1,2025-02-06,43,12,17,24,,,0.2408093329102825,0.42907299792854103,0.121,0.17235500080230648,72.24,Moderate
Chacra_San_Javier_Sokolov_1,2025-02-07,50,12,18,27,High drought risk: 50%,drought,0.2685645777716869,0.501687184159842,0.12208777905108795,0.18191877010413082,80.57,Moderate
Chacra_San_Javier_Sokolov_1,2025-02-08,46,18,20,28,,,0.2811848303743178,0.4637081790983265,0.17964720851921567,0.20019910350541123,84.36,Moderate
Chacra_San_Javier_Sokolov_1,2025-02-09,35,18,27,27,,,0.2694969418018598,0.35108700072320254,0.1825836102111274,0.27482021447124955,80.85,Moderate
Chacra_San_Javier_Sokolov_1,2025-02-10,41,13,25,26,,,0.26246812704985517,0.40948456235181385,0.13271660794426707,0.24520321085348454,78.74,Moderate
Chacra_San_Javier_Sokolov_1,2025-02-11,44,18,24,29,,,0.2872028141423637,0.4413355780316436,0.18234326695137126,0.23792959744407627,86.16,Moderate
Chacra_San_Javier_Sokolov_1,2025-02-12,40,16,21,26,,,0.2571439184046083,0.4029508000928325,0.15922976889707113,0.20925118622392128,77.14,Moderate
Chacra_San_Javier_Sokolov_1,2025-02-13,47,15,20,27,,,0.273108657110996,0.47267829354806845,0.14660389475932853,0.20004378302559103,81.93,Moderate
Chacra_San_Javier_Sokolov_2,2025-01-15,22,33,21,25,,,0.25276255566185984,0.21645315718892158,0.32887961642027974,0.21295489337637824,75.83,Moderate
Chacra_San_Javier_Sokolov_2,2025-01-16,30,38,18,28,,,0.284811825457735,0.2966313501341894,0.37785975759788487,0.17994436864113067,85.44,Moderate
Chacra_San_Javier_Sokolov_2,2025-01-17,29,34,18,27,,,0.271184052587862,0.2949393881546937,0.34295720869996715,0.1756555609089252,81.36,Moderate
Chacra_San_Javier_Sokolov_2,2025-01-18,29,38,21,29,,,0.29229700425393573,0.28817070128443223,0.3773281683551614,0.2113921431222136,87.69,Moderate
Chacra_San_Javier_Sokolov_2,2025-01-19,22,34,23,26,,,0.26473656661934636,0.22375839307949769,0.34085214277501774,0.22959916400352365,79.42,Moderate
Chacra_San_Javier_Sokolov_2,2025-01-20,26,46,22,31,,,0.31171166830064734,0.2555091602776591,0.4551218476818891,0.22450399694239387,93.51,Moderate
Chacra_San_Javier_Sokolov_2,2025-01-21,28,37,25,30,,,0.30065925858409215,0.28005287533650225,0.37191612172050265,0.2500087786952716,90.2,Moderate
Chacra_San_Javier_Sokolov_2,2025-01-22,30,36,23,30,,,0.2985479292211019,0.3031439183678308,0.3642427051704874,0.22825716412498748,89.56,Moderate
Chacra_San_Javier_Sokolov_2,2025-01-23,32,47,16,31,,,0.3141414860193564,0.3158221068522028,0.4673133251328976,0.1592890260729687,94.24,Moderate
Chacra_San_Javier_Sokolov_2,2025-01-24,45,44,18,36,,,0.3587555439266128,0.44954100442962636,0.44294589275666707,0.18377973459354496,107.63,Moderate
